"AXP",62.38,"6/11/2007","09:30.00",-0.66,62.79,62.38,62.38,834350
"BA",98.31,"6/11/2007","09:30.00",0.12,98.25,98.31,98.31,37450
"DD",50.60,"6/11/2007","09:30.00",-0.53,51.13,50.60,50.60,9750
"CAT",77.99,"6/11/2007","09:30.00",-0.53,78.32,77.99,77.99,169282
"AIG",71.26,"6/11/2007","09:30.00",-0.27,71.29,71.26,71.26,73400
"UTX",69.71,"6/11/2007","09:30.00",-0.52,69.85,69.71,69.71,97050
"HD",37.62,"6/11/2007","09:30.00",-0.33,37.78,37.62,37.62,114969
"IBM",102.77,"6/11/2007","09:30.00",-0.30,102.87,102.77,102.77,73900
"MSFT",29.95,"6/11/2007","09:30.00",-0.10,30.05,29.95,29.95,4861718
"DIS",34.04,"6/11/2007","09:30.00",-0.16,34.28,34.04,34.04,105100
"PG",62.61,"6/11/2007","09:30.00",-0.46,62.80,62.61,62.61,80755
"AA",39.31,"6/11/2007","09:30.00",-0.35,39.67,39.31,39.31,75600
"C",52.99,"6/11/2007","09:30.00",-0.34,53.20,52.99,52.99,82500
"INTC",21.82,"6/11/2007","09:30.00",-0.01,21.70,21.82,21.82,1796398
"VZ",42.78,"6/11/2007","09:30.00",-0.29,42.95,42.78,42.78,119300
"HON",57.02,"6/11/2007","09:30.00",-0.36,57.25,57.02,57.02,111800
"HPQ",45.59,"6/11/2007","09:30.00",-0.11,45.80,45.59,45.59,121100
"WMT",49.87,"6/11/2007","09:30.00",-0.21,49.90,49.87,49.87,456450
"GE",37.13,"6/11/2007","09:30.00",-0.19,37.07,37.13,37.13,175900
"T",39.87,"6/11/2007","09:30.00",-0.39,40.20,39.87,39.87,508700
"MRK",49.66,"6/11/2007","09:30.00",-0.48,50.30,49.66,49.66,1254100
"PFE",26.31,"6/11/2007","09:30.00",-0.21,26.50,26.31,26.31,436150
"GM",31.50,"6/11/2007","09:30.00",0.50,31.00,31.50,31.50,177457
"XOM",82.64,"6/11/2007","09:30.00",-0.04,82.68,82.64,82.64,144750
